keys;en;ru
bomb_desc;{} HARM WHEN ATTACKING, ONE-TIME USE; {} ВРЕДА ПРИ АТАКЕ, ОДНОРАЗОВОЕ
die_name;Die;Кубик
die_desc;START OF BATTLE: +{} LUCK;НАЧАЛО БОЯ: +{} УДАЧА
draniki_name;Draniki;Драники
draniki_desc;WHEN HEALTH LOWER THAN {}%, HEALS {}%, ONE-TIME USE;КОГДА ЗДОРОВЬЕ МЕНЬШЕ {}%, ЛЕЧИТ {}%, ОДНОРАЗОВОЕ
heart_lock_name;Heart Lock;Сердечный Замок
heart_lock_desc;START OF BATTLE: SHIELD {} TURNS;НАЧАЛО БОЯ: ЩИТ {} ХОД.
obsidian_name;Obsidian;Обсидиан
obsidian_desc;START OF BATTLE: +{} POWER, +{} LUCK;НАЧАЛО БОЯ: +{} МОЩЬ, +{} УДАЧА
pocket_watch_name;Pocket Watch;Карманные Часы
pocket_watch_desc;END OF {} TURN: +{} POWER, SHIELD {} TURNS, HEAL {}% HEALTH;КОНЕЦ {} ХОД: +{} МОЩИ, ЩИТ {} ХОДА, ВОССТАНОВИТЬ {}% ЗДРАВИЯ
teapot_name;Teapot;Чайник
teapot_desc;WHEN LOSING HEALTH, INFLICT {} HARM UPON OFFENDER;ПРИ ПОТЕРЕ ЗДРАВИЯ, {} ВРЕДА ОБИДЧИКУ
riot_shield_name;Riot Shield;Мятежный Щит
riot_shield_desc;INFLICTS {} HARM, SHIELD {} TURN TO SELF;ПРИЧИНЯЕТ {} ВРЕДА, ЩИТ {} ХОД СЕБЕ
hammer_name;Hammer;Молоток
hammer_desc;BREAKS SHIELD, INFLICTS {} HARM;ЛОМАЕТ ЩИТ, ПРИЧИНЯЕТ {} ВРЕДА
viking_helmet_name;Viking Helmet;Шлем Викинга
viking_helmet_desc;ACTION: APPETITE {} TURNS TO ALLY AND SELF;ДЕЙСТВИЕ: АППЕТИТ {} ХОД. СЕБЕ И СОЮЗНИКУ
boot_name;Boot;Сапог
boot_desc;OUT OF BATTLE: {} HEALTH FOR ENTERING EMPTY ROOM.\nACTION: {} HARM TO ALLY, THEY ATTACK.;ВНЕ БИТВЫ: {} ЗДОРОВЬЯ В ПУСТОЙ КОМНАТЕ.\nДЕЙСТВИЕ: {} ВРЕДА СОЮЗНИКУ, ТОТ АТАКУЕТ
shot_shells_name;Shot Shells;Стреляные Гильзы
shot_shells_desc;FIRST ATTACK: ATTACK ALL ENEMIES;ПРИ ПЕРВОЙ АТАКЕ: АТАКУЙТЕ ВСЕХ ВРАГОВ
pig_name;Pig;Хрюс
pig_desc;START OF BATTLE: +1 POWER FOR EACH {} VALUE OF EQUIPPED ITEMS;НАЧАЛО БОЯ: +1 МОЩЬ ЗА КАЖДЫЕ {} ЦЕННОСТИ НАДЕТЫХ ПРЕДМЕТОВ
